target_age,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
20-40,0.75,fnr,All,20-40,-3.096653772060762,0.01474025467329291,0.07738633703478778,0.20816653322658124,0.18402287199552603,0.23231019445763645,0.2555555555555555,0.24385975799737653,0.26725135311373444
20-40,0.75,fnr,All,40-60,0.6055278580831278,0.561609321941064,0.7877478171724276,0.20816653322658124,0.18402287199552603,0.23231019445763645,0.19470198675496683,0.16409829486450567,0.225305678645428
20-40,0.75,fnr,All,60-80,1.071043320662029,0.31539534440750816,0.4139563895348545,0.20816653322658124,0.18402287199552603,0.23231019445763645,0.18125,0.1443987352196774,0.2181012647803226
20-40,0.75,fnr,All,80+,2.141684616522037,0.06460667737388412,0.12334002044105151,0.20816653322658124,0.18402287199552603,0.23231019445763645,0.09999999999999998,0.014817320519172741,0.18518267948082723
20-40,1.0,fnr,All,0-20,-0.6022859797972717,0.5636608483510062,0.6229935692300596,0.20496397117694154,0.19832111797375665,0.21160682438012643,0.21999999999999992,0.17674243101564882,0.26325756898435104
20-40,1.0,fnr,All,20-40,-7.187707495597771,9.356842284644302e-05,0.0009824684398876517,0.20496397117694154,0.19832111797375665,0.21160682438012643,0.2878306878306878,0.2687427950133098,0.3069185806480659
20-40,1.0,fnr,All,40-60,5.083100685146377,0.0009494798301685999,0.006646358811180199,0.20496397117694154,0.19832111797375665,0.21160682438012643,0.17792494481236198,0.1713804233080998,0.18446946631662417
20-40,1.0,fnr,All,60-80,14.806570246512008,4.2611823349623886e-07,8.948482903421016e-06,0.20496397117694154,0.19832111797375665,0.21160682438012643,0.12734375,0.1209933315281173,0.13369416847188273
20-40,1.0,fnr,All,80+,3.2469514198987395,0.011754608374263162,0.049369355171905285,0.20496397117694154,0.19832111797375665,0.21160682438012643,0.0833333333333333,0.018001200515331522,0.14866546615133508
20-40,0.0,fomr,All,0-20,-3.3614612756110405,0.009910278021284972,0.049369355171905285,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.0806942155280709,0.07522488736277577,0.08616354369336604
20-40,0.0,fomr,All,20-40,-2.20276603086197,0.058739988188003855,0.12334002044105151,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.07485313460997647,0.07087946275800258,0.07882680646195037
20-40,0.0,fomr,All,40-60,2.6212357695812294,0.030591697311004355,0.10535550110933387,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.05953803373606521,0.05524136787874535,0.06383469959338507
